,SERIES_NAME,TOTAL_LIABILITIES
1040,Lord Abbett International Value Fund,10214091.92
1041,Polen DDJ Opportunistic High Yield Fund,19174454.01
1042,Franklin New York Tax-Free Income Fund,14851827.64
1043,PIMCO All Asset All Authority Fund,851021930.46
1044,Harbor Diversified International All Cap Fund,16415218.87
1045,Buffalo High Yield Fund,10950835.68
1046,Invesco International BuyBack AchieversTM ETF,13356189.86
1047,Unconstrained Total Return Fund,26610265.92
1048,JPMorgan Short Duration Bond Fund,88764171.93
1049,BATS: Series M Portfolio,710597753.09
1050,Virtus Terranova U.S. Quality Momentum ETF,34177627.25
1051,VANGUARD MATERIALS INDEX FUND,12870372.6
1052,Calvert Short Duration Income Fund,91807706.27
1053,BlackRock U.S. Government Bond Portfolio,34254974.9
1054,Nationwide Bond Index Fund,12702246.37
1055,MFS Value Fund,52631278.69
1056,Mercer Emerging Markets Equity Fund,62611196.72
1057,Harbor Core Plus Fund,17968626.44
1058,Invesco DWA Momentum ETF,74690642.2
1059,Invesco PureBetaSM MSCI USA Small Cap ETF,10795743.66
1060,VanEck VIP Global Resources Fund,22141387.69
1061,Invesco Financial Preferred ETF,41142915.73
1062,Heritage Fund,30164884.16
1063,PIMCO Active Bond Exchange-Traded Fund,1217624972.09
1064,Goldman Sachs ActiveBeta(R) Emerging Markets Equity ETF,33630369.45
1065,PIMCO Long-Term Real Return Fund,265073585.08
1066,Invesco S&P 500 Revenue ETF,30887418.13
1067,Delaware Corporate Bond Fund,10425010.06
1068,THE DFA INTERNATIONAL VALUE SERIES,1251594820.39
1069,Motley Fool Global Opportunities ETF,40808368.95
1070,JNL/Invesco Small Cap Growth Fund,14637717.09
1071,College Retirement Equities Fund - Equity Index Account,123452949
1072,iShares U.S. Utilities ETF,28282634.04
1073,THRIVENT LIMITED MATURITY BOND FUND,25951814.1
1074,SPDR(R) Portfolio Short Term Treasury ETF,817700278.75
1075,ARK Innovation ETF,21606305.37
1076,Mercer Core Fixed Income Fund,82073368.86
1077,First Trust New Opportunities MLP & Energy Fund,43538158.48
1078,U.S. Strategic Equity Fund,26923384.72
1079,JPMorgan Diversified Return U.S. Equity ETF,12213056.58
1080,Nuveen Credit Strategies Income Fund,438551828
1081,STATE STREET HEDGED INTERNATIONAL DEVELOPED EQUITY INDEX FUND,75893188.9
1082,Nuveen Kentucky Municipal Bond Fund,23675763
1083,DFA Investment Grade Portfolio,1148098079.12
1084,First Eagle Global Income Builder Fund,10069095.12
1085,PGIM Jennison International Opportunities Fund,185236323.97
1086,Invesco BulletShares 2025 Corporate Bond ETF,287741995.82
1087,Fidelity Large Cap Core Enhanced Index Fund,24084105.14
1088,International Sustainability Core 1 Portfolio,594846107.5
1089,ProShares UltraShort FTSE Europe,74810000.09
1090,Western Asset SMASh Series Core Plus Completion Fund,555795293.18
1091,Invesco Limited Term California Municipal Fund,14236871.05
1092,New World Fund Inc,421183753.39
1093,Goldman Sachs Dynamic Municipal Income Fund,69544475.1
1094,Ironwood Multi-Strategy Fund LLC,21839645
1095,Allspring Special Mid Cap Value Fund,24711756.77
1096,Bancroft Fund Ltd,30195812.68
1097,JPMorgan National Municipal Income Fund,21068748.93
1098,Baird Mid Cap Growth Fund,41069520.47
1099,BNY Mellon Floating Rate Income Fund,118478827.62
1100,Center Coast Brookfield MLP & Energy Infrastructure Fund,19648536.48
1101,iShares Core 1-5 Year USD Bond ETF,110991178.44
1102,AMG Yacktman Fund,16773254.99
1103,John Hancock Preferred Income Fund III,276414259.74
1104,SPDR(R) Portfolio Intermediate Term Treasury ETF,544442372.74
1105,Fidelity Leveraged Company Stock Fund,40100488.38
1106,ProShares Short QQQ,299290664.1
1107,Olstein All Cap Value Fund,131261859.33
1108,LOW-DURATION BOND FUND,28627553.92
1109,Invesco RAFI Strategic Developed ex-US ETF,37144591.06
1110,Series E (Total Return Bond Series),16811791.87
1111,Virtus Total Return Fund Inc.,212281873.47
1112,Invesco V.I. Main Street Fund,28746697.11
1113,Invesco Small Cap Growth Portfolio,79728570.03
1114,Fidelity Series Large Cap Value Index Fund,146689766.18
1115,REAL ESTATE INDEX PORTFOLIO,11849289.55
1116,Western Asset High Income Fund II Inc.,114583509.39
1117,Fidelity Series Long-Term Treasury Bond Index Fund,131267209.33
1118,PIMCO High Yield and Short-Term Investments Portfolio,13792921.38
1119,Invesco Solar ETF,380773649.2
1120,VANGUARD INTERNATIONAL VALUE FUND,103600997.86
1121,American High Income Trust,280119912.06
1122,Champlain MidCap Fund,10398048.41
1123,Global Fixed Income Opportunities Fund,44762963.24
1124,ProShares Ultra S&P500,2377423384.99
1125,SPDR(R) S&P Bank ETF,70997780.16
1126,BlackRock High Yield Portfolio,56781556.64
1127,SPDR Blackstone Senior Loan ETF,540586316.25
1128,VANGUARD EMERGING MARKETS BOND FUND,114294050.62
1129,Tortoise MLP & Pipeline Fund,14658321.49
1130,"T. Rowe Price Capital Appreciation Fund, Inc.",558780259.8
1131,BlackRock Strategic Municipal Opportunities Fund,216470283.97
1132,Direxion Daily Semiconductor Bull 3X Shares,374280341.19
1133,Western Asset Global Corporate Defined Opportunity Fund Inc.,84276661.61
1134,Bond-Debenture Portfolio,285334770.37
1135,JNL/Vanguard Moderate Growth ETF Allocation Fund,23645467.47
1136,Invesco V.I. Government Securities Fund,56428256.53
1137,First Trust High Income Long/Short Fund,201674868.38
1138,Schwab Fundamental US Small Company Index Fund,12214085.73
1139,BlackRock Income Fund,708463927.28
1140,THE HARTFORD STRATEGIC INCOME FUND,283386279.03
1141,THRIVENT GOVERNMENT BOND PORTFOLIO,26666776.79
1142,BlackRock Municipal Income Trust,276852806.84
1143,Invesco S&P 500 Equal Weight ETF,1893941592.52
1144,High Yield Fund,10724597.92
1145,Victory INCORE Investment Grade Convertible Fund,18456455.63
1146,Multi-Sector Bond Portfolio,13351087.25
1147,Apollo Tactical Income Fund Inc.,128726772.89
1148,JPMorgan Equity Premium Income Fund,176281650.66
1149,State Street Target Retirement 2025 Fund,117138352.74
1150,Carlyle AlpInvest Private Markets Fund,15946969.66
1151,Allspring Mid Cap Value Portfolio,54105353.8
1152,Nationwide International Small Cap Fund,17819659.35
1153,Pacific Funds Short Duration Income,28021622.91
1154,iShares Morningstar Small-Cap Growth ETF,60658284.4
1155,Invesco Multi-Asset Income Fund,106895651.97
1156,New Economy Fund,106363412.2
1157,U.S. Total Bond Index Master Portfolio,1272442905.12
1158,Cohen & Steers Institutional Realty Shares,48493822.55
1159,"ABRDN JAPAN EQUITY FUND, INC.",14991529.34
1160,Lord Abbett Ultra Short Bond Fund,138665205.98
1161,VANGUARD INDUSTRIALS INDEX FUND,15307511.33
1162,EATON VANCE CALIFORNIA MUNICIPAL INCOME TRUST,44513056.2
1163,Fidelity U.S. Bond Index Fund,2026907991.46
1164,PIMCO U.S. Government and Short-Term Investments Portfolio,931937548.66
1165,JNL/BlackRock Global Allocation Fund,466274508.53
1166,LVIP MFS International Equity Managed Volatility Fund,431612663.48
1167,iShares iBonds 2024 Term High Yield and Income ETF,49407591.22
1168,CAUSEWAY INTERNATIONAL VALUE FUND,40755811.36
1169,iShares Core MSCI International Developed Markets ETF,193521708.96
1170,First Trust Preferred Securities and Income ETF,43403404.14
1171,Dodge & Cox Global Bond Fund,149288086.35
1172,The Hartford Floating Rate High Income Fund,15782306.79
1173,WisdomTree International SmallCap Dividend Fund,126488677.4
1174,Government & High Quality Bond Fund,43344204.64
1175,DFA TARGETED CREDIT PORTFOLIO,25342334.57
1176,PGIM Floating Rate Income Fund,219911997.65
1177,iShares MSCI Mexico ETF,40489046.55
1178,THE HARTFORD SHORT DURATION FUND,17769125.22
1179,Victory Income Fund,42498972.29
1180,Small-Mid Cap Equity Fund,16501820.87
1181,iShares Fallen Angels USD Bond ETF,417986241.69
1182,International Opportunities Fund,21254047.88
1183,Invesco V.I. Equity and Income Fund,20695399.75
1184,Fidelity Series Global ex U.S. Index Fund,1823055999.86
1185,Allspring Ultra Short-Term Income Fund,26292312.68
1186,Invesco Dividend AchieversTM ETF,33152033.06
1187,iShares S&P Small-Cap 600 Value ETF,473683465.76
1188,"T. Rowe Price Balanced Fund, Inc.",60129987.96
1189,Fidelity Focused Stock Fund,23133744.69
1190,BlackRock Innovation & Growth Trust,133905224.38
1191,"Pioneer High Income Fund, Inc.",108737950.89
1192,Innovator Deepwater Frontier Tech ETF,11388914.81
1193,Alpha Architect Tail Risk ETF,11609079.14
1194,Natixis Sustainable Future 2045 Fund,13851500.93
1195,MFS Corporate Bond Fund,46673399.9
1196,ClearBridge Dividend Strategy Fund,34872266.69
1197,GROWTH PORTFOLIO,96162336.83
1198,FlexShares STOXX Global Broad Infrastructure Index Fund,33357874.73
1199,PGIM Jennison Utility Fund,43180508.8
1200,GMO Strategic Opportunities Allocation Fund,35150499.78
1201,Fidelity Small Cap Index Fund,3417118975.54
1202,STATE STREET SMALL/MID CAP EQUITY INDEX PORTFOLIO,104586070.15
1203,Direxion Daily 20+ Year Treasury Bear 3X Shares,24161783.55
1204,iShares Interest Rate Hedged Long-Term Corporate Bond ETF,12164243.04
1205,Goldman Sachs Short Duration Bond Fund,91062988.5
1206,CITY NATIONAL ROCHDALE FIXED INCOME OPPORTUNITIES FUND,71939840.5
1207,iShares MSCI EAFE Value ETF,84546654.32
1208,Fidelity ZERO International Index Fund,22436763.71
1209,NVIT GS Large Cap Equity Insights Fund,45607182.47
1210,Pacific Funds Floating Rate Income,209283462.32
1211,CTIVP - American Century Diversified Bond Fund,76113451.6
1212,VanEck Emerging Markets High Yield Bond ETF,41513653.7
1213,VANGUARD INTERNATIONAL CORE STOCK FUND,16067293.61
1214,iShares Treasury Floating Rate Bond ETF,301502081.44
1215,THRIVENT MODERATE ALLOCATION FUND,75254755.55
1216,Fixed Income SHares: Series M,772140625.48
1217,Gotham Enhanced 500 ETF,29596778.23
1218,iShares U.S. Intermediate Government Bond Index Fund,2906212895.3
1219,Hartford Core Bond ETF,68828163.5
1220,Nasdaq-100 Index Fund,26683544.27
1221,Putnam Small Cap Value Fund,25662186.51
1222,Calamos Strategic Total Return Fund,1130851858.03
1223,American Beacon AHL Managed Futures Strategy Fund,27589746.41
1224,Invesco S&P 500 Equal Weight Technology ETF,182026346.72
1225,Emerging Markets Social Core Equity Portfolio,37811326.64
1226,First Trust NASDAQ-100 Equal Weighted Index Fund,41747334.09
1227,Transamerica High Yield Bond,287368600.51
1228,Target Managed Allocation Fund,52345926.8
1229,EATON VANCE SENIOR INCOME TRUST,61291343.52
1230,Nuveen Missouri Quality Municipal Income Fund,18716724
1231,Federated Hermes Prudent Bear Fund,349338207.56
1232,Western Asset Global High Income Fund Inc.,72190602.94
1233,CIM Real Assets & Credit Fund,52968479.61
1234,U.S. Strategic Equity Fund,159920489.4
1235,Global Bond Fund,70150492.62
1236,PIMCO International Bond Portfolio (U.S. Dollar-Hedged),306054218.39
1237,Calvert VP S&P 500 Index Portfolio,10504035.02
1238,VY(R) JPMORGAN SMALL CAP CORE EQUITY PORTFOLIO,12391784.43
1239,ON Federated Core Plus Bond Portfolio,11215382.82
1240,Fidelity Series Emerging Markets Fund,46839419.68
1241,MidCap Fund,22344309.12
1242,iShares MSCI Turkey ETF,23083712.6
1243,EQ/Small Company Index Portfolio,48760319.73
1244,Muzinich Low Duration Fund,17854802.62
1245,Fidelity Series Growth Company Fund,212549985.79
1246,Guggenheim Macro Opportunities Fund,42480785.52
1247,GQG Partners International Quality Dividend Income Fund,14753719
1248,,110002313.08
1249,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,29464588.51
1250,Invesco S&P International Developed Low Volatility ETF,34963003.1
1251,Invesco S&P Emerging Markets Low Volatility ETF,16738573.37
1252,Victory Integrity Small-Cap Value Fund,17326880.3
1253,MassMutual Global Credit Income Opportunities Fund,37147561.62
1254,SIIT HIGH YIELD BOND FUND,41211655.41
1255,PIMCO Income Portfolio,194692039.27
1256,Fidelity Inflation-Protected Bond Index Fund,143568969.53
1257,MFS Mid Cap Value Fund,14143025.61
1258,Growth and Income Portfolio,10277125.55
1259,PIMCO Long-Term U.S. Government Portfolio,656418206.35
1260,NXG NextGen Infrastructure Income Fund,54293595.36
1261,Eaton Vance Richard Bernstein All Asset Strategy Fund,16819244.11
1262,Ellington Income Opportunities Fund,15484625.87
1263,First Trust International Equity Opportunities ETF,10800452.82
1264,MFS International Intrinsic Value Fund,55081755.18
1265,Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund,34866630.08
1266,THRIVENT GOVERNMENT BOND PORTFOLIO,13708485.97
1267,Cornerstone Moderately Aggressive Fund,51860433.79
1268,1WS Credit Income Fund,51447668.52
1269,Dimensional U.S. Small Cap ETF,290090702.72
1270,Lord Abbett Intermediate Tax Free Fund,39331431.11
1271,MassMutual Blue Chip Growth Fund,12476630.91
1272,Schwab U.S. Aggregate Bond Index Fund,124315721.93
1273,AST Quantitative Modeling Portfolio,62453860.15
1274,Investment Co of America,510256566.28
1275,ClearBridge All Cap Value Fund,15301620.77
1276,Direxion Daily Semiconductor Bear 3X Shares,163154489.93
1277,Fidelity High Income Fund,17174299.86
1278,Pacer Trendpilot US Mid Cap ETF,51770131.66
1279,Invesco Dynamic Oil & Gas Services ETF,10750311.67
1280,WBI BullBear Value 3000 ETF,13848261.86
1281,iShares Russell Mid-Cap ETF,1432554127.02
1282,BlackRock Health Sciences Opportunities Portfolio,168466088.8
1283,JPMorgan Small Cap Blend Fund,57372819.47
1284,Lazard Enhanced Opportunities Portfolio,41933765.29
1285,Calamos Dynamic Convertible & Income Fund,304509711.33
1286,State Street Target Retirement 2035 Fund,55213839.14
1287,JNL/PPM America High Yield Bond Fund,36374851.1
1288,Pacer Lunt Large Cap Multi-Factor Alternator ETF,17786191.41
1289,Strategic Advisers Fidelity Core Income Fund,7985173041.34
1290,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF - September,21549724.99
1291,DWS RREEF Real Assets Fund,29366028.17
1292,Invesco Conservative Income Fund,68018893.33
1293,Hartford Schroders Tax-Aware Bond Fund,36125491.04
1294,PIMCO Long-Term Credit Bond Fund,789070408.88
1295,International Small-Mid Cap Fund,11572084.44
1296,Invesco Real Estate Fund,60005842.25
1297,Strategic Advisers Emerging Markets Fund,184939077.78
1298,Series A (StylePlus-Large Core Series),10436492.67
1299,Invesco High Income Trust II,31965169.43
1300,Global X MLP and Energy Infrastructure ETF,12621984.38
1301,Baird Core Plus Bond Fund,225735040.16
1302,ProShares Ultra Oil & Gas,30551390.12
1303,Fidelity Series Opportunistic Insights Fund,11188384.94
1304,PIMCO Long Duration Credit Bond Portfolio,8477826483.85
1305,Schwab Fundamental U.S. Large Company Index ETF,19895431.43
1306,International Growth Fund,17283707.77
1307,,42542633.16
1308,Neuberger Berman California Municipal Fund Inc.,46631343.13
1309,EQ/Capital Group Research Portfolio,11587797.97
1310,Nexpoint Merger Arbitrage Fund,125734629.3
1311,Small Cap Index Fund,27829956.1
1312,American High Income Trust,10184473.55
1313,BlackRock LifePath Dynamic 2045 Fund,10816012.66
1314,Nuveen Enhanced High Yield Municipal Bond Fund,27943411
1315,World ex U.S. Core Equity Portfolio,359911235.81
1316,PIMCO CommodityRealReturn Strategy Portfolio,266721813.04
1317,JPMorgan Equity Premium Income ETF,577459238.47
1318,VANGUARD TOTAL BOND MARKET II INDEX FUND,2920627312.77
1319,1290 VT DoubleLine Opportunistic Bond Portfolio,14794866.93
1320,Nuveen Core Plus Impact Fund,187345482
1321,American Funds 2040 Target Date Retirement Fund,29334195.02
1322,Invesco Oppenheimer International Growth Fund,147836658.32
1323,iShares iBonds Dec 2024 Term Corporate ETF,315117806.16
1324,Guardian Core Plus Fixed Income VIP Fund,108489707.97
1325,Sierra Tactical Bond Fund,38993665.83
1326,Destra Multi-Alternative Fund,16462414.1
1327,Loomis Sayles Senior Floating Rate and Fixed Income Fund,82610952.58
1328,"Pioneer Municipal High Income Fund, Inc.",129954862.66
1329,PGIM High Yield Fund,2803501403.28
1330,SPDR S&P Kensho Clean Power ETF,31715799.11
1331,Boston Partners Small Cap Value Fund II,247557213.25
1332,JPMorgan Mortgage-Backed Securities Fund,116960714.66
1333,iShares Core U.S. Aggregate Bond ETF,4988883577.67
1334,VY(R) JPMORGAN EMERGING MARKETS EQUITY PORTFOLIO,10679194.77
1335,Barings Private Equity Opportunities and Commitments Fund,22672017.9
1336,Federated Hermes MDT Small Cap Growth Fund,12359317.3
1337,Short Duration Fund,11243705.11
1338,Virtus Newfleet Multi-Sector Short Term Bond Fund,61836697.17
1339,iShares Morningstar Multi-Asset Income ETF,33839456.92
1340,American Beacon SiM High Yield Opportunities Fund,11282427.6
1341,Goldman Sachs Core Fixed Income Fund,812354736.99
1342,Calvert Bond Fund,424350076.78
1343,VOYA INTERMEDIATE BOND FUND,270936707.79
1344,GuidePath Flexible Income Allocation Fund,59509512.79
1345,LVIP U.S. Aggressive Growth Allocation Managed Risk Fund,166958202.04
1346,iShares Agency Bond ETF,39311531.26
1347,JPMorgan Floating Rate Income Fund,11714123.06
1348,iShares ESG Aware MSCI USA ETF,41585958.24
1349,Invesco S&P 500 Equal Weight Industrials ETF,30338066.8
1350,Invesco Pennsylvania Municipal Fund,12150078.2
1351,Easterly Hedged Equity Fund,37583856.16
1352,VANGUARD CAPITAL OPPORTUNITY FUND,11730967.21
1353,Multimanager Lifestyle Moderate Portfolio,12483479.31
1354,Invesco FTSE RAFI Developed Markets ex-U.S. ETF,80533941.48
1355,"KAYNE ANDERSON ENERGY INFRASTRUCTURE FUND, INC",534970807.93
1356,PIMCO Total Return ESG Fund,1590754581.01
1357,Fidelity Convertible Securities Fund,22193958.01
1358,Mercer Non-US Core Equity Fund,405604284.23
1359,VANGUARD FTSE ALL-WORLD EX-US INDEX FUND,87682301.93
1360,PIMCO EM Bond and Short-Term Investments Portfolio,41746433.05
1361,AlphaCentric Income Opportunities Fund,45981595.72
1362,Leuthold Core Investment Fund,78237283.54
1363,Secured Options Portfolio,1618394102.62
1364,Dimensional US High Profitability ETF,19900937.47
1365,Fidelity Contrafund,454938573.58
1366,Multimanager Technology Portfolio,131579377.75
1367,John Hancock Premium Dividend Fund,375698851.06
1368,Invesco Select Risk: Growth Investor Fund,13649067.05
1369,"T. Rowe Price Equity Income Fund, Inc.",32006280.18
1370,VANGUARD HIGH DIVIDEND YIELD INDEX FUND,93442661.75
1371,Transamerica Goldman Sachs Managed Risk - Growth ETF VP,623200540.79
1372,Fidelity Series Total Market Index Fund,914849466.8
1373,AST T. Rowe Price Natural Resources Portfolio,24056137.64
1374,,614647165.72
1375,BrandywineGLOBAL - HIGH YIELD FUND,22295487.77
1376,Transamerica AEGON U.S. Government Securities VP,105995894.08
1377,International Small Cap Growth Portfolio,23857461.26
1378,The Merger Fund,168393562.47
1379,NB Crossroads Private Markets Fund VII Holdings LP,10777630.33
1380,New World Fund,38108552.09
1381,AQR Managed Futures Strategy Fund,31577532.44
1382,Transamerica Sustainable Equity Income,14204412.88
1383,T. Rowe Price International Stock Fund,229877670.55
1384,Janus Henderson Venture Fund,10026888
1385,Meridian Contrarian Fund,18180727.87
1386,Invesco Global Fund,57458508.28
1387,PIMCO Total Return Fund IV,127610989.01
1388,NVIT BNY Mellon Core Plus Bond Fund,39126405.17
1389,PIMCO CommodityRealReturn Strategy Fund,1259573620.53
1390,"T. Rowe Price Small-Cap Value Fund, Inc.",57059447.65
1391,First Trust/abrdn Global Opportunity Income Fund,16980601.75
1392,Invesco Rising Dividends Fund,84156479.12
1393,FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF - December,50796473.92
1394,First Trust Long/Short Equity ETF,246429194.7
1395,Strategic Advisers Short Duration Fund,57625469.91
1396,Calamos Phineus Long/Short Fund,71916694.95
1397,Six Circles International Unconstrained Equity Fund,25921174.17
1398,Allspring Short-Term Bond Plus Fund,14831954.93
1399,MML Equity Income Fund,10237531.09
1400,JPMorgan Diversified Return International Equity ETF,14134012.35
1401,First Trust Merger Arbitrage Fund,89521133.31
1402,Driehaus Event Driven Fund,29264334.96
1403,,546478432.26
1404,iShares MSCI KLD 400 Social ETF,16717988.99
1405,ARK Next Generation Internet ETF,10336107.92
1406,Franklin Equity Income Fund,28126935.6
1407,Domini Impact Bond Fund,55456272.59
1408,BlackRock Enhanced Global Dividend Trust,17910596.53
1409,Delaware Ivy Science and Technology Fund,10915726.44
1410,DoubleLine Yield Opportunities Fund,208391556.57
1411,Opportunistic Fixed Income Fund,18415136.84
1412,SPDR Portfolio Long Term Treasury ETF,262278630.75
1413,JPMorgan U.S. Small Company Fund,36257058.49
1414,Select Consumer Staples Portfolio,38606641.1
1415,abrdn Global Premier Properties Fund,69586104.26
1416,MFS Research International Fund,20541767.62
1417,EQ/Mid Cap Value Managed Volatility Portfolio,46298553.36
1418,The Ambassador Fund,16693327.64
1419,Catalyst/Millburn Hedge Strategy Fund,18496066664.31
1420,iShares MSCI Eurozone ETF,53459849.72
1421,Allspring Premier Large Company Growth Fund,17994989.28
1422,Tax-Managed International Equity Fund,11989946.42
1423,AB Municipal Bond Inflation Strategy,17463184.99
1424,Six Circles Credit Opportunities Fund,44776333.11
1425,MFS MUNICIPAL INCOME TRUST,116709674.48
1426,T. Rowe Price All-Cap Opportunities Fund,28179085.98
1427,VANGUARD CALIFORNIA LONG-TERM TAX-EXEMPT FUND,19557411.22
1428,Bond Market Index Account,75138843.71
1429,JNL/WMC Global Real Estate Fund,19445765.31
1430,Invesco Dynamic Pharmaceuticals ETF,38145334.71
1431,Franklin Rising Dividends Fund,23193635.2
1432,iShares Global REIT ETF,30577288.68
1433,Fidelity Emerging Markets Equity Central Fund,64445803.61
1434,BlackRock Dynamic High Income Portfolio,98246300.56
1435,VIP Growth Portfolio,88154639.17
1436,FT Cboe Vest U.S. Equity Buffer ETF - February,18189927.11
1437,Popular Income Plus Fund Inc.,11795132.41
1438,DFA Social Fixed Income Portfolio,52287903.55
1439,BlackRock Enhanced International Dividend Trust,14066135.96
1440,JPMorgan U.S. Large Cap Core Plus Fund,323929905.62
1441,Franklin High Yield Tax-Free Income Fund,34986818.66
1442,T. Rowe Price Emerging Markets Bond Fund,38211429.35
1443,"Constitution Capital Access Fund, LLC",41310263.35642
1444,PGIM Government Income Fund,35810087.32
1445,iShares Core 5-10 Year USD Bond ETF,33121549.68
1446,SPDR Bloomberg 1-10 Year TIPS ETF,36671979.85
1447,Victory Sycamore Small Company Opportunity Fund,18548461.09
1448,Tax-Aware Overlay A Portfolio,16328727.31
1449,ALPS | Smith Total Return Bond Fund,13934771.36
1450,Invesco S&P 500 QVM Multi-Factor ETF,33257304.77
1451,VIP Energy Portfolio,21551709.08
1452,Guggenheim Floating Rate Strategies Fund,19284140.07
1453,Loomis Sayles Growth Portfolio,244355129.82
1454,Invesco S&P Ultra Dividend Revenue ETF,129764404.9
1455,MainStay VP PIMCO Real Return Portfolio,223881295.47
1456,Fidelity Total Bond Fund,3429138873.86
1457,iShares MSCI EAFE Small-Cap ETF,841360275.03
1458,"T. Rowe Price Financial Services Fund, Inc.",18166368.82
1459,"Templeton Growth Fund, Inc.",115167089.02
1460,iShares J.P. Morgan EM High Yield Bond ETF,73733242.73
1461,PRIMECAP Odyssey Growth Fund,23188901.6
1462,Fidelity Advisor Focused Emerging Markets Fund,86637316.59
1463,Janus Henderson Flexible Bond Fund,324934020
1464,Dimensional Emerging Core Equity Market ETF,17004822.33
1465,1290 Diversified Bond Fund,44727267.89
1466,ProShares Short MSCI EAFE,47289607.25
1467,VANGUARD LONG-TERM TAX-EXEMPT FUND,289547898.76
1468,SHORT-TERM INVESTMENT-GRADE PORTFOLIO,51842917.6
1469,Emerging Markets Core Fund,11274896.42
1470,GLOBAL FRANCHISE PORTFOLIO,11775979.03
1471,Thornburg Investment Income Builder Fund,127515734.86
1472,Fidelity Dividend Growth Fund,158945302.82
1473,Invesco S&P 500 Equal Weight Financials ETF,13918061.89
1474,Inflation Managed Portfolio,320828901.41
1475,Select Wireless Portfolio,10951372.13
1476,"T. Rowe Price High Yield Fund, Inc.",53158727.67
1477,Delaware Value Fund,11345243.58
1478,Invesco S&P SmallCap Value with Momentum ETF,117784975.35
1479,VANGUARD RUSSELL 1000 INDEX FUND,10532008.39
1480,Victory Sycamore Mid Cap Value Portfolio,225418195.21
1481,Cohen & Steers Realty Shares,42442665.2
1482,Invesco S&P SmallCap Low Volatility ETF,129632103.95
1483,Invesco 1-30 Laddered Treasury ETF,13530419.17
1484,iShares J.P. Morgan EM Corporate Bond ETF,54642286.91
1485,Amplify Transformational Data Sharing ETF,127453168.14
1486,Redwood AlphaFactor Tactical International Fund,86789998.93
1487,AMCAP Fund,386291514.39
1488,Metropolitan West Floating Rate Income Fund,20940277.66
1489,Fidelity International Enhanced Index Fund,15389192.89
1490,PGIM Short Duration Multi-Sector Bond Fund,82774375.02
1491,VANGUARD U.S. MULTIFACTOR ETF,13015044.54
1492,JPMorgan Total Return Fund,90518408.99
1493,VANGUARD SHORT-TERM FEDERAL FUND,601034767.42
1494,LVIP Global Income Fund,550631742.47
1495,ProShares UltraPro Short Russell2000,150520888.74
1496,Invesco S&P Emerging Markets Low Volatility ETF,16394279.53
1497,Avantis U.S. Small Cap Value ETF,66505975.78
1498,FT Cboe Vest U.S. Equity Buffer ETF - November,12039181.46
1499,THRIVENT LIMITED MATURITY BOND PORTFOLIO,20194559.39
1500,SIMT Global Managed Volatility Fund,16520297.53
1501,"AB GLOBAL BOND FUND, INC.",559865014.36
1502,AST J.P. Morgan Global Thematic Portfolio,95994292.97
1503,Putnam Diversified Income Trust,3457664273.97
1504,Transamerica BlackRock Tactical Allocation VP,63809524.08
1505,Nuveen Flexible Income Fund,50441609
1506,BlackRock Sustainable Total Return Fund,23421200.13
1507,JPMorgan Hedged Equity Fund,170964242.15
1508,PGIM Quant Solutions Small-Cap Value Fund,80929744.52
1509,EQ/2000 Managed Volatility Portfolio,115069282.24
1510,Fidelity Total Market Index Fund,701893124.41
1511,Emerging Markets Local Income Portfolio,41651829.95
1512,Spectrum Unconstrained Fund,12055958.09
1513,AXS TSLA Bear Daily ETF,174123867.11
1514,AB International Strategic Core Portfolio,30478462.56
1515,THE CONTINENTAL SMALL COMPANY SERIES,842157202.88
1516,TIAA-CREF High-Yield Fund,176202625
1517,FCF US Quality ETF,21036818.39
1518,iShares MSCI USA Value Factor ETF,44691784.85
1519,California Municipal Portfolio,44189282.15
1520,Swan Defined Risk Fund,53485557.15
1521,SPDR(R) S & P 400 Mid Cap Growth ETF,74910403.32
1522,FS Credit Opportunities Corp.,768610486.71
1523,Allspring Government Securities Fund,40230259.49
1524,Overlay B Portfolio,51490625.19
1525,LVIP BlackRock Inflation Protected Bond Fund,149807886.77
1526,VANGUARD MID-CAP GROWTH FUND,16567292.2
1527,SPDR(R) ICE Preferred Securities ETF,83448424.4
1528,Gateway Equity Call Premium Fund,11493780.18
1529,Hennessy Total Return Fund,23617213.41
1530,Intrepid Income Fund,30284728.78
1531,VANGUARD GLOBAL WELLINGTON FUND,55088022.17
1532,iShares Russell 1000 ETF,501374236.95
1533,MetLife Stock Index Portfolio,700552801.93
1534,Eagle Point Credit Co Inc.,236038514
1535,VANGUARD VALUE INDEX FUND,51199436.21
1536,Total Return Portfolio,251861419.95
1537,Schwab U.S. Dividend Equity ETF,41235725.16
1538,Neuberger Berman Floating Rate Income Fund,21188353.55
1539,Direxion Daily Financial Bull 3X Shares,15832198.38
1540,LVIP Global Conservative Allocation Managed Risk Fund,522788771.91
1541,KAYNE ANDERSON NEXTGEN ENERGY & INFRASTRUCTURE,128371375.18
1542,AST Global Bond Portfolio,31172555.42
1543,Fidelity Series Value Discovery Fund,119083028.19
1544,PIMCO RAE US Small Fund,10779491.1
