,SERIES_NAME,TotalAssets,TotalLiabilities
4391,Invesco S&P SmallCap Momentum ETF,194938833.88,18330350.87
4392,Invesco S&P SmallCap Quality ETF,33966049.23,5378737.32
4393,Invesco S&P SmallCap Utilities & Communication Services ETF,26285381.63,5091479.1
4394,Invesco S&P SmallCap Value with Momentum ETF,885523780.62,138109558.17
4395,Invesco S&P Smallcap 600 Pure Value ETF,408853855.87,74987178.51
4396,Invesco S&P Spin-Off ETF,68897544.52,10630688.81
4397,Invesco S&P Ultra Dividend Revenue ETF,1075507536.81,96602646.07
4398,Invesco Select Risk: Growth Investor Fund,887492144.35,5274449.27
4399,Invesco Select Risk: High Growth Investor Fund,728835584.95,600608.42
4400,Invesco Select Risk: Moderate Investor Fund,1790207734.88,51603030.2
4401,Invesco Select Risk: Moderately Conservative Investor Fund,294029217.21,257293.35
4402,Invesco Senior Floating Rate Fund,3754944460.2,264050524.4
4403,Invesco Senior Income Trust,1028534869.42,383043400.61
4404,Invesco Senior Loan ETF,5018144823.84,1009847555.83
4405,Invesco Senior Loan Fund,519949408.6,119773795.46
4406,Invesco Short Duration High Yield Municipal Fund,1515345468.01,35994387.27
4407,Invesco Short Duration Inflation Protected Fund,677731437.11,628315.48
4408,Invesco Short Term Bond Fund,2467881872.81,141245141.43
4409,Invesco Short Term Municipal Fund,2373727508.51,21502576.75
4410,Invesco Small Cap Growth Fund,2725839701.98,446860882.72
4411,Invesco Small Cap Growth Portfolio,1003570481.59,113630107.05
4412,Invesco Solar ETF,3250656061.31,390855655.38
4413,Invesco SteelPath MLP Alpha Fund,831310184.61,4983226.25
4414,Invesco SteelPath MLP Income Fund,3133354014.96,103069859.11
4415,Invesco SteelPath MLP Select 40 Fund,1815234593.44,36832718.61
4416,Invesco Summit Fund,2590823744.75,87470393.7
4417,Invesco Taxable Municipal Bond ETF,1500251123.55,3591923.47
4418,Invesco Technology Fund,1152377357.05,81831496.27
4419,Invesco Treasury Collateral ETF,1191088751.74,192727608.9
4420,Invesco Trust for Investment Grade Municipals,1001724843.21,402110231.88
4421,Invesco Trust for Investment Grade New York Municipals,373870604.91,145792610.07
4422,Invesco V.I. American Franchise Fund,655469785.2,99936547.07
4423,Invesco V.I. American Value Fund,359823522.6,29486548.1
4424,Invesco V.I. Balanced-Risk Allocation Fund,832398353.44,22410727.81
4425,Invesco V.I. Comstock Fund,1483720725.54,65086103.06
4426,Invesco V.I. Core Equity Fund,733112200.78,31812836.77
4427,Invesco V.I. Core Plus Bond Fund,145260113.79,26820746.41
4428,Invesco V.I. Discovery Mid Cap Growth Fund,863145518.57,58669537.32
4429,Invesco V.I. Diversified Dividend Fund,491524371.86,36281721.48
4430,Invesco V.I. EQV International Equity Fund,1077620303.83,3756081.42
4431,Invesco V.I. Equally-Weighted S&P 500 Fund,573783860.02,126964887.47
4432,Invesco V.I. Equity and Income Fund,1188952525.21,88514979.05
4433,Invesco V.I. Global Core Equity Fund,61785422.64,6063676.24
4434,Invesco V.I. Global Fund,1683307108.51,4467259.46
4435,Invesco V.I. Global Strategic Income Fund,794216257.09,56406773.31
4436,Invesco V.I. Government Securities Fund,375345998.44,38154882.89
4437,Invesco V.I. Growth and Income Fund,1271815148.83,52314367.89
4438,Invesco V.I. Health Care Fund,211918575.33,15482201.89
4439,Invesco V.I. High Yield Fund,153981568.14,7878665.63
4440,Invesco V.I. Main Street Fund,725979825.83,28618257.5
4441,Invesco V.I. Main Street Mid Cap Fund,210299521.68,16080193.33
4442,Invesco V.I. Main Street Small Cap Fund,839742948.12,134313084.03
4443,Invesco V.I. NASDAQ 100 Buffer Fund - December,11560629.46,6678280.73
4444,Invesco V.I. NASDAQ 100 Buffer Fund - June,6542896.71,555637.67
4445,Invesco V.I. NASDAQ 100 Buffer Fund - March,3963201.24,350352.41
4446,Invesco V.I. NASDAQ 100 Buffer Fund - September,5185808.99,449709.87
4447,Invesco V.I. S&P 500 Buffer Fund - December,10831241.08,793822.86
4448,Invesco V.I. S&P 500 Buffer Fund - June,11023028.52,684265.64
4449,Invesco V.I. S&P 500 Buffer Fund - March,11693695.63,808527.41
4450,Invesco V.I. Small Cap Equity Fund,229421075.81,35248699.66
4451,Invesco V.I. Technology Fund,132037676.43,20799493.74
4452,Invesco VRDO Tax-Free ETF,77279455.28,15699.31
4453,Investment Co of America,103145906224.42,90032532.1
4454,Investment Grade Bond Fund,3307815806.12,117580409.35
4455,Investment Quality Bond Trust,262494503.06,58703452.45
4456,Ionic Inflation Protection ETF,29379032.93,17360.1
4457,Ironclad Managed Risk Fund,172595371.69,36571231.72
4458,Ironwood Institutional Multi-Strategy Fund LLC,4570628764.81,56277557.22
4459,Ironwood Multi-Strategy Fund LLC,2347499342.62,22031334.4
4460,Issachar Fund,23584222.62,137371.8
4461,J.P. Morgan Access Multi-Strategy Fund II,87032151.86,6459540.91
4462,JAG Large Cap Growth Fund,39230795.54,86036.91
4463,JAMES AGGRESSIVE ALLOCATION FUND,18016592.29,15898.88
4464,JAMES BALANCED: GOLDEN RAINBOW FUND,445238018.31,1095671.86
4465,JAMES MICRO CAP FUND,21508265.19,430244.71
4466,JAMES SMALL CAP FUND,32780668.61,54958.51
4467,JAMESTOWN EQUITY FUND,41034202.47,58640.12
4468,JAPANESE SMALL COMPANY PORTFOLIO,256933139.02,71662.18
4469,JNL Aggressive Growth Allocation Fund,1354970556.56,2979937.72
4470,JNL Conservative Allocation Fund,593030649.93,248512.21
4471,JNL Emerging Markets Index Fund,824059963.54,5129815.5
4472,JNL Growth Allocation Fund,2891146903.04,1168071.77
4473,JNL International Index Fund,2141108173.85,11725910.55
4474,JNL Moderate Allocation Fund,2122694892.92,1403023.65
4475,JNL Multi-Manager Alternative Fund,1454149325.98,374137426.85
4476,JNL Multi-Manager International Small Cap Fund,598073700.35,7150695.26
4477,JNL Multi-Manager Mid Cap Fund,1438452970.5,9100966.05
4478,JNL Multi-Manager Small Cap Value Fund,1611931834.93,6987957.36
4479,JNL Multi-Manager U.S. Select Equity Fund,333680169.05,511807.12
4480,JNL S&P 500 Index Fund,279409968.87,422499.48
4481,JNL Small Cap Index Fund,2341452391.41,6435511.45
4482,JNL iShares Tactical Growth Fund,303462335.71,4916205.28
4483,JNL iShares Tactical Moderate Fund,203037541.56,10847445.5
4484,JNL iShares Tactical Moderate Growth Fund,309194212.77,5493437.4
4485,JNL/AB Sustainable Global Thematic Fund,14120455.89,67732.79
4486,JNL/AQR Large Cap Defensive Style Fund,389961824.31,434270.46
4487,JNL/American Funds Bond Fund of America Fund,171008441.3,2074557.29
4488,JNL/American Funds Capital Income Builder Fund,351952394.21,743667.28
4489,JNL/American Funds Capital World Bond Fund,355062294.34,397399.33
4490,JNL/American Funds Global Small Capitalization Fund,616656606.2,758296.17
4491,JNL/American Funds Growth Allocation Fund,3273386934.34,3285923.82
4492,JNL/American Funds Growth Fund,3374916758.6,4300223.91
4493,JNL/American Funds Growth-Income Fund,8559220802.79,10073567.49
4494,JNL/American Funds International Fund,1371556744.42,1907188.78
4495,JNL/American Funds Moderate Growth Allocation Fund,2396762690.2,1698140.89
4496,JNL/American Funds New World Fund,1312567022.59,1802116.83
4497,JNL/Baillie Gifford U.S. Equity Growth Fund,67980456.72,2188994.8
4498,JNL/BlackRock Global Allocation Fund,3289373137,400978273.64
4499,JNL/BlackRock Global Natural Resources Fund,1605008336.87,3194965.07
4500,JNL/BlackRock Large Cap Select Growth Fund,3209303803.18,3414010.92
4501,JNL/Causeway International Value Select Fund,1366817513.94,5255880.76
4502,JNL/ClearBridge Large Cap Growth Fund,1268956319.09,829660.79
4503,JNL/DFA International Core Equity Fund,221125869.33,3178876.67
4504,JNL/DFA U.S. Core Equity Fund,1247030354.7,2690302.52
4505,JNL/DFA U.S. Small Cap Fund,492199459.97,2411137.28
4506,JNL/DoubleLine Emerging Markets Fixed Income Fund,574847696.77,3233616.91
4507,JNL/DoubleLine Shiller Enhanced CAPE Fund,3577077585.51,1833488412.59
4508,JNL/DoubleLine Total Return Fund,2040317362.91,1298499.87
4509,JNL/Fidelity Institutional Asset Management Total Bond Fund,1513605212.06,224677950.51
4510,JNL/Franklin Templeton Income Fund,1642780499.8,37486095.85
4511,JNL/Goldman Sachs 4 Fund,5139792049.33,5742941.9
4512,JNL/Goldman Sachs Managed Aggressive Growth Fund,1984716141.66,1242817.29
4513,JNL/Goldman Sachs Managed Conservative Fund,852041313.45,650596.01
4514,JNL/Goldman Sachs Managed Growth Fund,4109244006.76,3436645.82
4515,JNL/Goldman Sachs Managed Moderate Fund,1986496354.31,843259.63
4516,JNL/Goldman Sachs Managed Moderate Growth Fund,4051438648.51,1799827.12
4517,JNL/Harris Oakmark Global Equity Fund,723986761.8,3105293.56
4518,JNL/Invesco Diversified Dividend Fund,1058304869.39,1614524
4519,JNL/Invesco Global Growth Fund,1424174680.56,6190952.01
4520,JNL/Invesco Small Cap Growth Fund,1581473783.26,1803536.98
4521,JNL/JPMorgan Global Allocation Fund,1037775870.64,20233028.97
4522,JNL/JPMorgan Hedged Equity Fund,825102961.69,89943544.12
4523,JNL/JPMorgan MidCap Growth Fund,2667683865.35,2591628.71
4524,JNL/JPMorgan U.S. Government & Quality Bond Fund,1605415827.11,1231216.86
4525,JNL/JPMorgan U.S. Value Fund,1631492640.15,8155033.61
4526,JNL/Lazard International Strategic Equity Fund,468650438.26,5780198.38
4527,JNL/Loomis Sayles Global Growth Fund,529645445.87,2268225.96
4528,JNL/Lord Abbett Short Duration Income Fund,1151994783.02,22268535.39
4529,JNL/MFS Mid Cap Value Fund,2022399855.26,2881220.66
4530,JNL/Mellon Communication Services Sector Fund,167167486.95,844597
4531,JNL/Mellon Consumer Discretionary Sector Fund,1111188079.36,4818659.3
4532,JNL/Mellon Dow Index Fund,1251487771.38,1397993.03
4533,JNL/Mellon Emerging Markets Index Fund,817950371.54,668638.86
4534,JNL/Mellon Financial Sector Fund,1374178783.64,1730551.96
4535,JNL/Mellon Healthcare Sector Fund,3707088583.5,5001913.67
4536,JNL/Mellon International Index Fund,2128175605.13,1780744.16
4537,JNL/Mellon Materials Sector Fund,192575704.73,704677.6
4538,JNL/Mellon S&P 400 MidCap Index Fund,3068536947.97,2498689.07
4539,JNL/Mellon S&P 500 Index Fund,11309029078.72,650545840.03
4540,JNL/Mellon Small Cap Index Fund,2332878668.57,1842658.06
4541,JNL/Mellon U.S. Stock Market Index Fund,4592043937.09,11143407.36
4542,JNL/Mellon Utilities Sector Fund,662561597.91,667754.29
4543,JNL/Mellon World Index Fund,355224112.14,919563.17
4544,JNL/Morningstar U.S. Sustainability Index Fund,229182251.82,426287.5
4545,JNL/Morningstar Wide Moat Index Fund,789812261.43,870616.76
4546,JNL/Neuberger Berman Commodity Strategy Fund,385243844.48,2476645.91
4547,JNL/Neuberger Berman Gold Plus Strategy Fund,16621403.74,21136.38
4548,JNL/Newton Equity Income Fund,1917521523.15,44936446.83
4549,JNL/PIMCO Income Fund,2381452227.91,1134963963.81
4550,JNL/PIMCO Investment Grade Credit Bond Fund,1104926619.18,173542261.64
4551,JNL/PIMCO Real Return Fund,2831363286.49,1294884319.6
4552,JNL/PPM America Floating Rate Income Fund,1293448473.76,77344497.96
4553,JNL/PPM America High Yield Bond Fund,1409484774.99,21932744.07
4554,JNL/PPM America Total Return Fund,1336189452.64,22960976.34
4555,JNL/RAFI Fundamental U.S. Small Cap Fund,410650474.41,1253044.79
4556,JNL/T. Rowe Price Capital Appreciation Fund,11048978757,165144435.06
4557,JNL/T. Rowe Price Established Growth Fund,7228982047,6700708.65
4558,JNL/T. Rowe Price Mid-Cap Growth Fund,4896804861.25,5677511.34
4559,JNL/T. Rowe Price Short-Term Bond Fund,1767351341.42,6311085.75
4560,JNL/T. Rowe Price U.S. High Yield Fund,535596780.7,12546067.14
4561,JNL/T. Rowe Price Value Fund,4511127705.26,38600406.51
4562,JNL/Vanguard Moderate ETF Allocation Fund,514979950.82,5949462.33
4563,JNL/Vanguard Moderate Growth ETF Allocation Fund,877705317.1,11114362.6
4564,JNL/WCM China Quality Growth Fund,5740854.67,5063.41
4565,JNL/WCM Focused International Equity Fund,1342418579.55,3454967.49
4566,JNL/WMC Equity Income Fund,1293627188.54,16908418.81
4567,JNL/WMC Global Real Estate Fund,676871804.87,2373520.42
4568,JNL/Westchester Capital Event Driven Fund,187450385.02,55790863.1
4569,JNL/Western Asset Global Multi-Sector Bond Fund,417426343.66,9896982.65
4570,JNL/William Blair International Leaders Fund,807643805.65,967320.65
4571,JOHCM Credit Income Fund,6060953.56,19707.83
4572,JOHCM Global Income Builder Fund,51939538.01,2955114.96
4573,JOHCM Global Select Fund,223942195.15,360985.2
4574,JOHCM International Opportunities Fund,1941859.47,136448.81
4575,JOHCM International Select Fund,5784461688.14,18940592.33
4576,JOHNSON CORE PLUS BOND FUND,14381227.35,22819.92
4577,JOHNSON ENHANCED RETURN FUND,207119941.79,637903.39
4578,JOHNSON EQUITY INCOME FUND,551765420.28,495126.41
4579,JOHNSON FIXED INCOME FUND,892236821.64,1637013.02
4580,JOHNSON INSTITUTIONAL CORE BOND FUND,573298697.62,415902.28
4581,JOHNSON INSTITUTIONAL SHORT DURATION BOND FUND,229636809.33,159446.43
4582,JOHNSON INTERNATIONAL FUND,21500129.99,25765.44
4583,JOHNSON MUNICIPAL INCOME FUND,190826458.12,325910.47
4584,JOHNSON OPPORTUNITY FUND,115211113.03,119397
4585,JP Morgan Access Multi-Strategy Fund LLC,240860078.02,21351751.77
4586,JPMORGAN BETABUILDERS U.S. EQUITY ETF,1370083761.79,1228860.15
4587,JPMorgan Access Balanced Fund,347657335.65,2372290.35
4588,JPMorgan Access Growth Fund,410525190.72,2514047.84
4589,JPMorgan Active Growth ETF,139992222.8,53595.87
4590,JPMorgan Active Value ETF,302552718.12,166039.93
4591,JPMorgan ActiveBuilders U.S. Large Cap Equity ETF,24075537.87,517.57
4592,JPMorgan BetaBuilders Canada ETF,6504324766.96,343409147.85
4593,JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF,4774424135.24,21920484.67
4594,JPMorgan BetaBuilders Europe ETF,7075003773.13,56147855.14
4595,JPMorgan BetaBuilders International Equity ETF,3074538473.46,7107737.58
4596,JPMorgan BetaBuilders Japan ETF,7340411950.91,68591851.01
4597,JPMorgan BetaBuilders MSCI US REIT ETF,1009377724.46,303636.03
4598,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,1469911948.95,44333922.14
4599,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,610942812.58,15551682.02
4600,JPMorgan California Tax Free Bond Fund,293265433.87,261649.09
4601,JPMorgan Carbon Transition U.S. Equity ETF,22014655.58,2712.79
4602,JPMorgan Climate Change Solutions ETF,22275218.29,84977.95
4603,JPMorgan Core Bond Fund,32163094454.06,144625409.93
4604,JPMorgan Core Bond Portfolio,1357522712.33,39713746.47
4605,JPMorgan Core Bond Trust,2125425943.78,9181049.81
4606,JPMorgan Core Focus SMA Fund,20377587.74,68417.46
4607,JPMorgan Core Plus Bond ETF,538303247.28,4503884.97
4608,JPMorgan Corporate Bond Fund,199105476.41,1495599.67
4609,JPMorgan Corporate Bond Research Enhanced ETF,40475520.61,5227.88
4610,JPMorgan Diversified Fund,535230534.74,20345108.67
4611,JPMorgan Diversified Return Emerging Markets Equity ETF,255720278.98,8516300.35
4612,JPMorgan Diversified Return U.S. Equity ETF,518383203.27,395460.19
4613,JPMorgan Diversified Return U.S. Mid Cap Equity ETF,323784584.8,624768.78
4614,JPMorgan Diversified Return U.S. Small Cap Equity ETF,348736498.26,17099341.6
4615,JPMorgan Emerging Markets Equity Fund,8737517307.23,43165827.23
4616,JPMorgan Emerging Markets Research Enhanced Equity Fund,3087316741.08,17173963.07
4617,JPMorgan Equity Income Fund,49340380733.47,156953495.04
4618,JPMorgan Equity Index Fund,7036390002.56,140475186.68
4619,JPMorgan Equity Premium Income ETF,17939462336.43,544109737.71
4620,JPMorgan Equity Premium Income Fund,4934324012.04,189745924.46
4621,JPMorgan Floating Rate Income Fund,379906966.2,4594753.05
4622,JPMorgan Global Active Allocation Portfolio,1589834121.66,89170560.68
4623,JPMorgan Global Bond Opportunities Fund,2970675963.76,42242998.58
4624,JPMorgan Growth Advantage Fund,12213279332.45,63356506.22
4625,JPMorgan High Yield Municipal Fund,347256348.99,6795412.67
4626,JPMorgan High Yield Research Enhanced ETF,417273523.41,78423.67
4627,JPMorgan Income Builder Fund,10675000058.34,271412044.04
4628,JPMorgan Income Fund,11453188269.89,1527937502.86
4629,JPMorgan Insurance Trust Core Bond Portfolio,474276639.64,4036564.72
4630,JPMorgan Insurance Trust Global Allocation Portfolio,119637512.8,9764949.31
4631,JPMorgan Insurance Trust Income Builder Portfolio,88767118.08,1874818.25
4632,JPMorgan Insurance Trust Mid Cap Value Portfolio,448547036.96,338460.23
4633,JPMorgan Insurance Trust Small Cap Core Portfolio,171460561.42,5168356.42
4634,JPMorgan Insurance Trust U.S. Equity Portfolio,120208751.68,557678.8
4635,JPMorgan Intermediate Bond Trust,81827741.65,62042.2
4636,JPMorgan International Bond Opportunities ETF,306612648.58,6794727.48
4637,JPMorgan International Equity Fund,4570086686.63,21118778.36
4638,JPMorgan International Focus Fund,1368421062.26,4297656.1
4639,JPMorgan International Growth ETF,77552157.11,33666.31
4640,JPMorgan International Hedged Equity Fund,163466077.86,8074628.7
4641,JPMorgan International Research Enhanced Equity ETF,5249870709.74,22712567.46
4642,JPMorgan International Value Fund,446218115.23,3736925.68
4643,JPMorgan Investor Balanced Fund,4993615672.48,45105096.86
4644,JPMorgan Investor Conservative Growth Fund,4012703286.32,21649132.66
4645,JPMorgan Investor Growth & Income Fund,3757587217.34,35547839.52
4646,JPMorgan Investor Growth Fund,3981822854.5,39815244.74
4647,JPMorgan Large Cap Value Fund,3450292635.96,1972083.19
4648,JPMorgan Limited Duration Bond Fund,1152844422.16,11075447.48
4649,JPMorgan Managed Income Fund,9493095837.46,102861856.45
4650,JPMorgan Market Expansion Enhanced Equity ETF,789200540.1,2652895.52
4651,JPMorgan Mid Cap Growth Fund,7693694638.96,134556124.29
4652,JPMorgan Mid Cap Value Fund,13959545052.78,72867423.53
4653,JPMorgan Mortgage-Backed Securities Fund,3987981794.02,126191989.5
4654,JPMorgan Municipal ETF,280960430.1,10193355.14
4655,JPMorgan Nasdaq Equity Premium Income ETF,1056336646.74,60201608.06
4656,JPMorgan National Municipal Income Fund,3601114676.72,53082383.49
4657,JPMorgan New York Tax Free Bond Fund,345800732.72,2708855.96
4658,JPMorgan Opportunistic Equity Long/Short Fund,541326601,147935839.31
4659,JPMorgan Preferred and Income Securities Fund,531472768.15,2174457.43
4660,JPMorgan Realty Income ETF,844369182.21,6429494.67
4661,JPMorgan SMID Cap Equity Fund,303783520.72,370473.62
4662,JPMorgan Short Duration Bond Fund,7352941500.3,4483429.39
4663,JPMorgan Short Duration Core Plus ETF,198885827.18,2371666.87
4664,JPMorgan Short Duration Core Plus Fund,4770047472.12,43257040.32
4665,JPMorgan Short-Intermediate Municipal Bond Fund,1127356890.03,376675.88
4666,JPMorgan Small Cap Equity Fund,5977414415.52,295540785.55
4667,JPMorgan Small Cap Growth Fund,3884974717.56,216868993.01
4668,JPMorgan Small Cap Sustainable Leaders Fund,86658812.51,116562.16
4669,JPMorgan Small Cap Value Fund,1315174404.28,38730491.91
4670,JPMorgan Small Cap Value Portfolio,390636077.17,10765904.11
4671,JPMorgan SmartRetirement 2020 Fund,1813944738.32,54087549.38
4672,JPMorgan SmartRetirement 2025 Fund,3515554334.2,92981219.39
4673,JPMorgan SmartRetirement 2030 Fund,4577129433.44,108889269.69
4674,JPMorgan SmartRetirement 2035 Fund,3853409669.75,80337414.49
4675,JPMorgan SmartRetirement 2040 Fund,3861120554.25,75342314.21
4676,JPMorgan SmartRetirement 2045 Fund,2930494103.15,50817675.93
4677,JPMorgan SmartRetirement 2050 Fund,2588465219.21,46792905.64
4678,JPMorgan SmartRetirement 2055 Fund,1550287798.5,26980697.26
4679,JPMorgan SmartRetirement Blend 2020 Fund,919740402.79,27158488.3
4680,JPMorgan SmartRetirement Blend 2025 Fund,1701433430.08,48540026.96
4681,JPMorgan SmartRetirement Blend 2040 Fund,1808882548.45,40362231.43
4682,JPMorgan SmartRetirement Blend 2050 Fund,1135013422.57,23324969.8
4683,JPMorgan SmartRetirement Blend 2055 Fund,657717105.82,13158174.83
4684,JPMorgan SmartRetirement Blend 2060 Fund,273546357.28,5134418.66
4685,JPMorgan SmartRetirement Blend 2065 Fund,1031019.63,5625.7
4686,JPMorgan SmartRetirement Blend Income Fund,525937064.54,15464310.41
4687,JPMorgan Strategic Income Opportunities Fund,10752444692.35,1615955359.81
4688,JPMorgan Sustainable Consumption ETF,11991436.02,212966.5
4689,JPMorgan Sustainable Infrastructure ETF,11023371.48,58506.44
4690,JPMorgan Sustainable Municipal Income Fund,248114886.93,4880500.77
4691,JPMorgan Tax Aware Equity Fund,895675387.07,843955.22
4692,JPMorgan Tax Aware Real Return Fund,564939777.3,5984050.67
4693,JPMorgan Tax Free Bond Fund,558400780.21,13010794.28
4694,JPMorgan Total Return Fund,324184810.41,90723463.64
4695,JPMorgan U.S. Aggregate Bond ETF,1237126749.13,80668404.14
4696,JPMorgan U.S. Applied Data Science Value Fund,190255820.75,186868.89
4697,JPMorgan U.S. Equity Fund,19422924957.57,155586875.86
4698,JPMorgan U.S. GARP Equity Fund,931231365.94,418989.51
4699,JPMorgan U.S. Large Cap Core Plus Fund,1625947756.95,320674276.37
4700,JPMorgan U.S. Momentum Factor ETF,240629376.77,840200.94
4701,JPMorgan U.S. Quality Factor ETF,804511604.72,27397905.02
4702,JPMorgan U.S. Research Enhanced Equity Fund,6501101834.48,1782310.26
4703,JPMorgan U.S. Small Company Fund,907383233.07,40027532.14
4704,JPMorgan U.S. Sustainable Leaders Fund,166617075.18,166983.05
4705,JPMorgan U.S. Value Factor ETF,727139957.42,6734442.66
4706,JPMorgan U.S. Value Fund,3905590878.33,26381295.47
4707,JPMorgan USD Emerging Markets Sovereign Bond ETF,78397284.1,4834940.22
4708,JPMorgan Ultra-Short Income ETF,22461979823.82,112023197.92
4709,JPMorgan Ultra-Short Municipal Fund,2626136347.42,1242137.37
4710,JPMorgan Ultra-Short Municipal Income ETF,2613774779.64,3227108.33
4711,JPMorgan Unconstrained Debt Fund,996202203.27,17664535.16
4712,JPMorgan Value Advantage Fund,9285664190.07,138544540.49
4713,Jackson Square Large-Cap Growth Fund,210620542.42,570279.73
4714,Jackson Square SMID-Cap Growth Fund,978828981.28,1167301.37
4715,Jacob Discovery Fund,28795132.57,102503.1
4716,Jacob Forward ETF,3110961.93,11927.8
4717,Jacob Internet Fund,54042701.5,153483.06
4718,Jacob Small Cap Growth Fund,8335961.69,75529.67
4719,Janus Henderson AAA CLO ETF,2096185037.48,49905388.2
4720,Janus Henderson Absolute Return Income Opportunities Fund,63627596,1515377
4721,Janus Henderson Adaptive Global Allocation Fund,38224590,142100
4722,Janus Henderson Asia Equity Fund,26444957,180241
4723,Janus Henderson B-BBB CLO ETF,83259250.77,34071.5
4724,Janus Henderson Balanced Fund,23799644452,1146834464
4725,Janus Henderson Balanced Portfolio,7889488735,415814742
4726,Janus Henderson Contrarian Fund,4131131092,25216681
4727,Janus Henderson Developed World Bond Fund,1681725426,56487999
4728,Janus Henderson Emerging Markets Fund,61830190,137367
4729,Janus Henderson Enterprise Fund,16529651791,25270400
4730,Janus Henderson Enterprise Portfolio,1375123157,1549120
4731,Janus Henderson European Focus Fund,401408889,513528
4732,Janus Henderson Flexible Bond Fund,3029676155,210802942
4733,Janus Henderson Flexible Bond Portfolio,600271854,48206227
4734,Janus Henderson Forty Portfolio,795844060,3963273
4735,Janus Henderson Global Allocation Fund - Conservative,147815994,103179
4736,Janus Henderson Global Allocation Fund - Growth,214117351,117426
4737,Janus Henderson Global Allocation Fund - Moderate,187711648,110101
4738,Janus Henderson Global Bond Fund,164085702,15871709
4739,Janus Henderson Global Equity Income Fund,5750305775,5601847
4740,Janus Henderson Global Life Sciences Fund,4744758393,18525450
4741,Janus Henderson Global Real Estate Fund,593771844,741330
4742,Janus Henderson Global Research Portfolio,682472382,573346
4743,Janus Henderson Global Select Fund,2231688079,2373796
4744,Janus Henderson Global Sustainable Equity Fund,26385195,104133
4745,Janus Henderson Global Sustainable Equity Portfolio,4485044,80517
4746,Janus Henderson Global Technology and Innovation Fund,3852360881,3963909
4747,Janus Henderson Global Technology and Innovation Portfolio,570221563,593248
4748,Janus Henderson Growth and Income Fund,6288842055,5134823
4749,Janus Henderson High-Yield Fund,857716405,6813773
4750,Janus Henderson International Opportunities Fund,641469169,1865334
4751,Janus Henderson Mid Cap Value Portfolio,117791402,150564
4752,Janus Henderson Mortgage-Backed Securities ETF,2610423032.69,1711649768.04
4753,Janus Henderson Multi-Sector Income Fund,3415589258,738856589
4754,Janus Henderson Overseas Fund,2093443500,2347622
4755,Janus Henderson Overseas Portfolio,647889853,787460
4756,Janus Henderson Research Portfolio,452795855,346418
4757,Janus Henderson Responsible International Dividend Fund,106894698,166805
4758,Janus Henderson Short Duration Flexible Bond Fund,905135254,7642636
4759,Janus Henderson Short Duration Income ETF,2341912085.26,22689020.82
4760,Janus Henderson Small Cap Growth Alpha ETF,89612052.37,11550048.92
4761,Janus Henderson Small Cap Value Fund,2604983654,2253060
4762,Janus Henderson Small-Mid Cap Value Fund,119487027,146025
4763,Janus Henderson Small/Mid Cap Growth Alpha ETF,197727529.2,3622224.89
4764,Janus Henderson Sustainable & Impact Bond ETF,53413073.65,16791077.85
4765,Janus Henderson Sustainable Corporate Bond ETF,31933455.73,432251.82
4766,Janus Henderson Sustainable Multi-Asset Allocation Fund,2228874,55810
4767,Janus Henderson Triton Fund,7039218870,3416732
4768,Janus Henderson U.S. Real Estate ETF,5948031.08,2792.96
4769,Janus Henderson U.S. Sustainable Equity ETF,22366718.61,9968.66
4770,Janus Henderson US Dividend Income Fund,890177,33663
4771,Japan 2x Strategy Fund,2017800.69,6451.93
4772,"Japan Smaller Capitalization Fund, Inc.",215647159.18,403412.79
4773,Jennison Growth Portfolio,2252980673.38,171177132.72
4774,John Hancock Asset-Based Lending Fund,101545817.51,206985.07
4775,John Hancock Corporate Bond ETF,20316442.51,1109004.3
4776,John Hancock Financial Opportunities Fund,757218667.44,126007217.85
4777,John Hancock GA Senior Loan Trust,428186326.73,11270014.96
4778,John Hancock Hedged Equity & Income Fund,143788429.31,211349.68
4779,John Hancock Income Securities Trust,239786488.44,97149700.93
4780,John Hancock International High Dividend ETF,5462769.44,12223.62
4781,John Hancock Managed Account Shares Investment-Grade Corporate Bond Portfolio,63794882.44,1877547.11
4782,John Hancock Managed Account Shares Securitized Debt Portfolio,75267964.77,1459661.64
4783,John Hancock Mortgage-Backed Securities ETF,24612215.6,44409.73
4784,John Hancock Multifactor Developed International ETF,478276784.22,316918.91
4785,John Hancock Multifactor Large Cap ETF,780207926.56,17092714.41
4786,John Hancock Multifactor Small Cap ETF,356263271.87,206677.9
4787,John Hancock Preferred Income Fund,715228553.21,258431909.9
4788,John Hancock Preferred Income Fund II,575453209.21,207782087.09
4789,John Hancock Premium Dividend Fund,1041930651.51,375641916.59
4790,John Hancock Tax-Advantaged Dividend Income Fund,1280753788.51,420870162.93
4791,John Hancock Tax-Advantaged Global Shareholder Yield Fund,61962128.29,78538.34
4792,John Hancock U.S. High Dividend ETF,6330399.23,62847.36
4793,KARNER BLUE BIODIVERSITY IMPACT FUND,9618195.83,15136.37
4794,"KAYNE ANDERSON ENERGY INFRASTRUCTURE FUND, INC",2004657447.92,556635796.97
4795,KBI GLOBAL INVESTORS AQUARIUS FUND,74511003.62,161406.93
