SERIES_NAME,TotalLiabilities,TotalAssets
Milliman 6-Year Parred Down S&P 500 with Par Up Outcome Fund - Jan (I),108198.42,933072.17
Milliman 6-Year Parred Down S&P 500 with Par Up Outcome Fund - Jul (I),118365.4,1303996.07
Milliman 6-Year Parred Down S&P 500 with Par Up Outcome Fund - Oct (I),78782.3,1084236.08
Mindful Conservative ETF,83551.78,101043583.31
Mirova Global Green Bond Fund,2005846.94,38302251.79
Mirova Global Sustainable Equity Fund,1119553.2,869983699.14
Mirova International Sustainable Equity Fund,148881.55,9128640.5
Mirova U.S. Sustainable Equity Fund,59271.68,3703365.02
Mississippi Tax-Free Income Series,68388.67,7860449.04
Moderate Balanced Allocation Portfolio,14641.43,1698957.4
Moderate Growth Lifestyle Fund,200297.34,1000377003.08
Moderate Strategy Fund,51413.16,72043726.38
Moderately Aggressive Balanced Allocation Portfolio,8597.62,935205.41
Moderately Conservative Balanced Allocation Portfolio,7024.72,564891.71
Modern Capital Tactical Opportunities Fund,3989436.95,32767293.78
Moerus Worldwide Value Fund,120138.8,49801175.82
Mohr Growth ETF,107239.91,134702159.44
Monachil Credit Income Fund,1255564.46,15691124.83
Monarch Ambassador Income ETF,70804.83,41513393.38
Monarch Blue Chips Core ETF,74507.95,35699508.07
Monarch ProCap ETF,105002.21,99442321.28
Mondrian Emerging Markets Value Equity Fund,117465.36,22912692.4
Mondrian Global Equity Value Fund,172192.34,138041559.57
Mondrian Global Listed Infrastructure Fund,7981.38,1797012.67
Mondrian International Government Fixed Income Fund,20022.98,9495641.77
Mondrian International Value Equity Fund,755457.09,704300357.25
Monetta Fund,108693.14,58479936.1
Monetta Young Investor Growth Fund,280285.72,32333259.77
Monteagle Opportunity Equity Fund,33810.39,30023898.46
Monteagle Smart Diversification Fund,24686.78,21302435.12
Monthly Rebalance NASDAQ-100 2x Strategy Fund,7435483.99,245482564.95
Morgan Creek - Exos Active SPAC Arbitrage ETF,8729.47,8259143.17
"Morgan Stanley China A Share Fund, Inc.",758672.29,374193870.26
Morgan Stanley Discovery Portfolio,239577203.97,1088140655.21
"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",74222283.43,428808466.84
Morgan Stanley Europe Opportunity Fund Inc.,307891.84,136567761.77
Morgan Stanley Insight Fund,20559359.57,1357037121.69
Morgan Stanley Mortgage Securities Trust,39576068.5,237595156.71
Morgan Stanley U.S. Government Securities Trust,61790206.03,300764829.48
Morningstar Aggressive Growth ETF Asset Allocation Portfolio,112571.44,144524463.0
Morningstar Balanced ETF Asset Allocation Portfolio,132886.62,151072062.28
Morningstar Conservative ETF Asset Allocation Portfolio,62796.08,31740530.21
Morningstar Defensive Bond Fund,352146.32,134960949.29
Morningstar Global Opportunistic Equity Fund,271795.6,217232694.14
Morningstar Growth ETF Asset Allocation Portfolio,154526.76,221935743.04
Morningstar Income and Growth ETF Asset Allocation Portfolio,63946.53,53734908.66
Morningstar International Equity Fund,4989180.36,870983528.87
Morningstar Municipal Bond Fund,7783581.99,343677226.11
Morningstar Total Return Bond Fund,147863055.21,941980111.91
Mortgage Core Fund,42588469.25,3225056834.0
Motley Fool Capital Efficiency 100 Index ETF,7995.86,20333099.54
Motley Fool Global Opportunities ETF,35202158.02,456018197.76
Motley Fool Mid-Cap Growth ETF,25741066.39,227644555.18
Motley Fool Next Index ETF,12487.7,31598383.48
Motley Fool Small-Cap Growth ETF,26019564.17,96848078.74
Multi-Asset Absolute Return Fund,2017352.88,499797905.19
Multi-Asset Diversified Income Index Fund,6667243.02,463265038.07
Multi-Asset Growth Strategy Fund,377857414.53,1023283298.53
Multi-Asset High Income Fund,709419.59,123119942.21
Multi-Asset Real Return Portfolio,498001.56,43612143.02
Multi-Hedge Strategies Fund,4554891.62,54505115.57
Multi-Index 2010 Lifetime Portfolio,94125.62,48783150.67
Multi-Index 2015 Lifetime Portfolio,38651.45,66696166.62
Multi-Index 2020 Lifetime Portfolio,590765.99,231221130.35
Multi-Index 2025 Lifetime Portfolio,93825.96,477105605.83
Multi-Index 2025 Preservation Portfolio,106681.71,769944021.18
Multi-Index 2030 Lifetime Portfolio,357432.89,553681202.04
Multi-Index 2030 Preservation Portfolio,127971.97,1006606929.31
Multi-Index 2035 Lifetime Portfolio,216316.82,561142268.27
Multi-Index 2040 Lifetime Portfolio,155341.49,473179748.88
Multi-Index 2040 Preservation Portfolio,166855.49,782099039.41
Multi-Index 2045 Lifetime Portfolio,83156.64,454504069.93
Multi-Index 2045 Preservation Portfolio,96602.22,688583549.28
Multi-Index 2050 Preservation Portfolio,101601.3,561249760.39
Multi-Index 2055 Lifetime Portfolio,59141.1,266881596.6
Multi-Index 2055 Preservation Portfolio,57888.66,329606598.09
Multi-Index 2060 Lifetime Portfolio,43163.6,134725760.19
Multi-Index 2060 Preservation Portfolio,260455.38,193992512.43
Multi-Index 2065 Preservation Portfolio,30887.29,32924938.0
Multi-Index Income Preservation Portfolio,84341.58,487071528.17
Multi-Index Lifestyle Aggressive Portfolio,276361.96,469410760.44
Multi-Index Lifestyle Balanced Portfolio,669767.81,1059954747.9
Multi-Index Lifestyle Conservative Portfolio,104026.21,276490762.11
Multi-Index Lifestyle Growth Portfolio,237622.32,1038714590.13
Multi-Index Lifestyle Moderate Portfolio,284561.66,318747004.78
Multi-Manager Alternative Strategies Fund,50739226.53,569764101.55
Multi-Manager Directional Alternative Strategies Fund,104348350.91,370172915.03
Multi-Manager Emerging Markets Debt Opportunity Fund,218199.4,67288333.63
Multi-Manager Global Listed Infrastructure Fund,2595403.9,950583597.98
Multi-Manager Global Real Estate Fund,64232.85,125782255.65
Multi-Manager International Equity Fund,899617171.17,2196095307.88
Multi-Manager International Equity Strategies Fund,10527557.69,2321336179.92
Multi-Manager Small Cap Equity Strategies Fund,5886127.75,1333990636.23
Multi-Manager Total Return Bond Strategies Fund,2103424889.54,12241958745.09
Multi-Manager Value Strategies Fund,5767792.32,4466182680.69
Multi-Sector Bond Portfolio,10236492.27,1122672889.24
Multi-Strategy Income Fund,216898429.92,612088320.24
Multifactor Bond Fund,356701.67,27514441.07
Multifactor International Equity Fund,2040173.7,270776058.84
Multifactor U.S. Equity Fund,1586951.84,588575126.05
Multimanager 2010 Lifetime Portfolio,56219.4,141420138.66
Multimanager 2015 Lifetime Portfolio,59382.6,191614049.64
Multimanager 2020 Lifetime Portfolio,102502.38,543471559.0
Multimanager 2025 Lifetime Portfolio,255335.64,1003490898.94
Multimanager 2030 Lifetime Portfolio,164265.84,1200102893.37
Multimanager 2035 Lifetime Portfolio,151540.94,1054888555.61
Multimanager 2040 Lifetime Portfolio,128769.27,896290333.7
Multimanager 2045 Lifetime Portfolio,121550.35,844564510.85
Multimanager 2050 Lifetime Portfolio,86330.3,527131095.03
Multimanager 2055 Lifetime Portfolio,64097.19,333412644.98
Multimanager Core Bond Portfolio,157296201.0,1035048986.7
Multimanager Lifestyle Balanced Portfolio,1259235.0,7740633111.03
Multimanager Lifestyle Growth Portfolio,1163379.46,8339853436.8
Multimanager Lifestyle Moderate Portfolio,542389.84,2308162802.57
Multimanager Technology Portfolio,17972963.92,1180910833.85
Multisector Bond SMA Completion Portfolio,2003129.3,4240858.93
Mundoval Fund,30141.95,22974512.11
Muni Intermediate Portfolio,11929988.63,337186125.52
Municipal Opportunities Fund,49757542.51,797154582.61
Municipal Total Return Managed Accounts Portfolio,24746130.0,1444784042.0
Mutual of America VIP 2015 Retirement Portfolio,11188.75,5183807.08
Mutual of America VIP 2020 Retirement Portfolio,24161.18,14239279.16
Mutual of America VIP 2025 Retirement Portfolio,25003.1,21568495.02
Mutual of America VIP 2030 Retirement Portfolio,43983.25,14610193.17
Mutual of America VIP 2040 Retirement Portfolio,74885.54,7114607.88
Mutual of America VIP 2045 Retirement Portfolio,31694.94,3929335.39
Mutual of America VIP 2055 Retirement Portfolio,13527.22,937075.6
Mutual of America VIP 2060 Retirement Portfolio,11800.13,704152.31
Mutual of America VIP Aggressive Allocation Portfolio,16485.34,4369162.9
Mutual of America VIP All America Portfolio,53080.01,14572346.42
Mutual of America VIP Bond Portfolio,270056.9,33587615.53
Mutual of America VIP Conservative Allocation Portfolio,72621.4,8907582.84
Mutual of America VIP Equity Index Portfolio (S&P 500),247471.49,102339343.12
Mutual of America VIP Mid Cap Index Portfolio (S&P 400),100442.68,47653071.98
Mutual of America VIP Mid-Cap Value Portfolio,18951.38,4589500.46
Mutual of America VIP Mid-Term Bond Portfolio,79464.57,21320336.12
Mutual of America VIP Moderate Allocation Portfolio,61656.4,19638042.98
Mutual of America VIP Small Cap Equity Index Portfolio,22264.89,7043980.44
Mutual of America VIP Small-Cap Growth Portfolio,168270.86,10224208.64
Mutual of America VIP Small-Cap Value Portfolio,30282.36,10075097.75
Muzinich Low Duration Fund,74208165.75,917892409.45
Muzinich U.S. High Yield Credit Fund,2133355.15,35194376.77
MyDestination 2015 Fund,180160.26,642089244.33
MyDestination 2025 Fund,403433.54,1626406089.5
MyDestination 2045 Fund,255943.98,1043121901.45
MyDestination 2055 Fund,124561.51,439091375.44
NASDAQ-100 2x Strategy Fund,23096415.9,398363827.73
NASDAQ-100 Fund,735758.22,65539050.51
NB Crossroads Private Markets Access Fund LLC,13088654.84481,427919160.4458
NB Crossroads Private Markets Fund IV (TI) - Client LLC,567641.91,250484583.93
NB Crossroads Private Markets Fund V (TE) LP,190763.2,110630669.03
NB Crossroads Private Markets Fund V (TI) Advisory LP,71640.44,16036396.54
NB Crossroads Private Markets Fund V (TI) LP,371454.69,219409210.15
NB Crossroads Private Markets Fund V Holdings LP,973337.26,382308405.52
NB Crossroads Private Markets Fund VI Holdings LP,11832780.38997,304163628.4459
NB Crossroads Private Markets Fund VI LP,623152.5861491,258985670.48
NB Crossroads Private Markets Fund VII Advisory LP,25546.55,10303516.49
NB Crossroads Private Markets Fund VII Holdings LP,10495415.7,130271580.43
NB Crossroads Private Markets Fund VII LP,1330653.34,118346771.28
NB Private Markets Fund II (Master) LLC,38482.88,1586214.655341
NB Private Markets Fund II (TE) LLC,18125.07,1411041.3385
NB Private Markets Fund III (Master) LLC,241295.17,74129373.86
NB Private Markets Fund III (TE) LLC,53778.84,29797391.56
NB Private Markets Fund III (TI) LLC,87461.2,43546668.95
NC SLF INC.,18043156.0,318178252.0
NEOS Enhanced Income Aggregate Bond ETF,2919.77,957270.04
NEOS Enhanced Income Cash Alternative ETF,485.84,1000878.13
NEOS S&P 500 High Income ETF,48287.11,2959658.19
NEOS S&P 500(R) High Income ETF,6397.39,4193444.14
NETLease Corporate Real Estate ETF,405325.47,99957921.21
NEW AMERICA HIGH INCOME FUND INC,83964028.83,261003948.02
NEW JERSEY MUNICIPAL BOND FUND,213610.93,99749775.99
NEW YORK MUNICIPAL BOND FUND,1402566.2,129066639.44
NEXPOINT REAL ESTATE STRATEGIES FUND,4914215.06,45340015.52
NIA IMPACT SOLUTIONS FUND,33607.67,44793410.81
NICHOLAS PARTNERS SMALL CAP GROWTH FUND,347221.09,84728313.92
NIGHTSHARES 2000 ETF,976.57,2177652.97
NIGHTSHARES 500 ETF,1712.1,3817112.71
NORTHEAST INVESTORS TRUST,1538266.63,136092764.31
NORTHQUEST CAPITAL FUND INC,7925.39,6279527.52
NVIT Allspring Discovery Fund,3801081.1,409058265.83
NVIT American Funds Asset Allocation Fund,3827579.08,6261669626.8
NVIT American Funds Global Growth Fund,330961.33,462445369.73
NVIT American Funds Growth-Income Fund,2219832.36,3660523081.98
NVIT Amundi Multi Sector Bond Fund,4767645.34,231002290.24
NVIT BNY Mellon Core Plus Bond Fund,40603079.77,1801355493.67
NVIT BNY Mellon Dynamic U.S. Equity Income Fund,1413600.41,564061203.84
NVIT BlackRock Managed Global Allocation Fund,405184.75,335023449.64
NVIT Blueprint Balanced Fund,984698.07,1602180105.08
NVIT Blueprint Capital Appreciation Fund,1151834.39,1891073658.9
NVIT Blueprint Conservative Fund,359706.37,562892396.84
NVIT Blueprint Managed Growth & Income Fund,322371.43,487842575.05
NVIT Blueprint Managed Growth Fund,710994.12,1135996341.26
NVIT Blueprint Moderate Fund,1151528.63,1895804097.01
NVIT Blueprint Moderately Aggressive Fund,238452.46,389614651.81
NVIT Blueprint Moderately Conservative Fund,354895.53,549449958.42
NVIT Bond Index Fund,70000510.51,2005396227.52
NVIT Columbia Overseas Value Fund,9067509.68,254762627.07
NVIT Core Bond Fund,17397718.89,1376682601.93
NVIT DoubleLine Total Return Tactical Fund,158052.92,178404527.52
NVIT Emerging Markets Fund,1678562.84,482221417.21
NVIT Federated High Income Bond Fund,131896.53,97395284.86
NVIT GS Emerging Markets Equity Insights Fund,3050941.38,444155263.51
NVIT GS International Equity Insights Fund,8356788.03,789205465.2
NVIT GS Large Cap Equity Insights Fund,5675493.51,2313115724.17
NVIT GS Small Cap Equity Insights Fund,8643940.89,235443688.06
NVIT International Equity Fund,1529601.69,82832734.81
NVIT International Index Fund,10847494.26,1374827318.43
NVIT Investor Destinations Aggressive Fund,201991.54,321961288.65
NVIT Investor Destinations Balanced Fund,21943691.64,1238204340.91
NVIT Investor Destinations Capital Appreciation Fund,15564806.87,1109813761.07
NVIT Investor Destinations Conservative Fund,6105168.72,551943558.25
NVIT Investor Destinations Managed Growth & Income Fund,3952088.36,414203419.01
NVIT Investor Destinations Moderately Aggressive Fund,542521.34,916810827.35
NVIT Investor Destinations Moderately Conservative Fund,26067391.25,604066996.16
NVIT J.P. Morgan Digital Evolution Strategy Fund,46241.27,2744699.33
NVIT J.P. Morgan Innovators Fund,46525.28,3198406.99
NVIT J.P. Morgan Large Cap Growth Fund,47008.26,4281486.16
NVIT J.P. Morgan US Technology Leaders Fund,75607.14,3212148.11
NVIT JPMorgan MozaicSM Multi-Asset Fund,136011.47,34633545.83
NVIT Jacobs Levy Large Cap Growth Fund,1329648.94,229477462.65
NVIT Managed American Funds Growth-Income Fund,422629.95,646648335.93
NVIT Mid Cap Index Fund,19350956.04,1091337475.1
NVIT Multi-Manager Mid Cap Value Fund,746136.79,351202582.19
NVIT Multi-Manager Small Cap Growth Fund,189130.27,114505694.36
NVIT Multi-Manager Small Cap Value Fund,9443886.09,210798821.43
NVIT NS Partners International Focused Growth Fund,450695.24,221079940.27
NVIT Neuberger Berman Multi Cap Opportunities Fund,3889095.97,212582620.12
NVIT Real Estate Fund,232345.13,212171610.14
NVIT S&P 500 Index Fund,1443411.91,2565541995.82
NVIT Short Term Bond Fund,11289837.79,1187973247.24
NVIT U.S. 130/30 Equity Fund,1496010.82,1007887304.41
NVIT iShares Fixed Income ETF Fund,8135778.41,49235058.37
Nasdaq-100 Index Fund,81396386.51,6183021250.96
Nationwide Amundi Global High Yield Fund,2516865.89,49028118.05
Nationwide Amundi Strategic Income Fund,4787439.29,140266481.25
Nationwide BNY Mellon Core Plus Bond ESG Fund,6125451.05,595840302.7
Nationwide BNY Mellon Disciplined Value Fund,4200899.75,596423429.11
Nationwide BNY Mellon Dynamic U.S. Core Fund,1375399.44,1147661441.59
Nationwide Bailard Cognitive Value Fund,2235554.1,99264185.0
Nationwide Bailard International Equities Fund,1400035.69,171495233.13
Nationwide Bailard Technology & Science Fund,120130.35,114695828.24
Nationwide Bond Index Fund,9633368.4,263713409.45
Nationwide Destination 2025 Fund,327137.22,173759028.42
Nationwide Destination 2030 Fund,333866.78,201745685.64
Nationwide Destination 2035 Fund,298807.65,184156587.8
Nationwide Destination 2040 Fund,327976.34,166089880.7
Nationwide Destination 2045 Fund,329300.65,144621219.59
Nationwide Destination 2055 Fund,207898.76,85711838.24
Nationwide Destination 2065 Fund,13173.32,4536390.65
Nationwide Dow Jones Risk-Managed Income ETF,502205.83,30394678.64
Nationwide Fund,6804211.19,1095336874.54
Nationwide GQG US Quality Equity Fund,156997.12,82964477.56
Nationwide Geneva Mid Cap Growth Fund,595668.68,228106844.96
Nationwide Geneva Small Cap Growth Fund,1271189.29,1403450521.76
Nationwide Global Sustainable Equity Fund,288447.34,50361895.15
Nationwide International Index Fund,4696399.0,1020317149.14
Nationwide International Small Cap Fund,23090031.87,651592706.91
Nationwide Investor Destinations Aggressive Fund,529209.48,893966148.12
Nationwide Investor Destinations Conservative Fund,399324.55,414230823.35
Nationwide Investor Destinations Moderate Fund,610356.0,959341535.54
Nationwide Investor Destinations Moderately Aggressive Fund,741216.8,1298920714.68
Nationwide Investor Destinations Moderately Conservative Fund,260318.82,332558851.29
Nationwide Janus Henderson Overseas Fund,2193440.75,248985220.35
Nationwide Loomis All Cap Growth Fund,3513482.18,309871556.66
Nationwide Loomis Short Term Bond Fund,4845995.63,155676437.22
Nationwide Mid Cap Market Index Fund,3951958.48,721093411.95
Nationwide Multi-Cap Portfolio,169222693.34,5131060237.61
Nationwide Nasdaq-100 Risk-Managed Income ETF,23942145.27,536332984.61
Nationwide Russell 2000 Risk-Managed Income ETF,436345.33,13585798.31
Nationwide S&P 500 Index Fund,1109155.46,1168527359.24
Nationwide Small Company Growth Fund,4247797.82,151151570.31
Nationwide WCM Focused Small Cap Fund,2454198.81,198892770.56
Natixis Oakmark Fund,1148566.73,349142603.64
Natixis Oakmark International Fund,842264.04,361270201.74
Natixis Sustainable Future 2015 Fund,3640894.28,8989056.7
Natixis Sustainable Future 2025 Fund,6849206.89,15425621.56
Natixis Sustainable Future 2030 Fund,13462623.56,28648573.44
Natixis Sustainable Future 2035 Fund,14786530.79,31637228.57
Natixis Sustainable Future 2040 Fund,13614489.76,29190660.23
Natixis Sustainable Future 2045 Fund,12876902.44,27560734.97
Natixis Sustainable Future 2050 Fund,11492746.87,24701483.11
Natixis Sustainable Future 2055 Fund,9637647.39,20729154.19
Natixis Sustainable Future 2060 Fund,6235664.03,14012320.83
Natixis Sustainable Future 2065 Fund,3103959.56,5849103.93
Natixis U.S. Equity Opportunities ETF,160355.48,8281275.59
Natixis U.S. Equity Opportunities Fund,2426115.12,739355800.97
Natixis Vaughan Nelson Mid Cap ETF,93840.99,7171877.88
Navigator Tactical Fixed Income Fund,13551253.83,6751647713.89
Navigator Tactical Investment Grade Bond Fund,904518.08,1036640024.31
Navigator Tactical U.S. Allocation Fund,54918.22,48597107.09
Navigator Ultra Short Bond Fund,38865.65,55294691.66
Nebraska Municipal Fund,145251.74,46272625.63
Nebraska Tax-Free Income Fund,61309.35,28810658.58
Needham Aggressive Growth Fund,370774.8,135199596.43
Needham Growth Fund,564947.09,121557944.42
Needham Small Cap Growth Fund,3528796.5,202584768.46
Neiman Large Cap Value Fund,81589.09,30251758.94
Neuberger Berman Absolute Return Multi-Manager Fund,13423079.73,157836921.49
Neuberger Berman Carbon Transition & Infrastructure ETF,2897.03,5650467.19
Neuberger Berman Commodity Strategy ETF,3208099.91,227114197.31
Neuberger Berman Disrupters ETF,2720.58,5398115.48
Neuberger Berman Dividend Growth Fund,138574.68,75278085.53
Neuberger Berman Equity Income Fund,1059809.06,1155313798.21
Neuberger Berman Floating Rate Income Fund,13235009.1,468646427.96
Neuberger Berman Focus Fund,9541926.22,612730409.02
Neuberger Berman Genesis Fund,15361477.74,10313158028.54
Neuberger Berman Genesis Portfolio,1103791.49,891945575.64
Neuberger Berman Global Allocation Fund,64152.24,7792389.12
Neuberger Berman Global Real Estate Fund,98570.85,3421535.03
Neuberger Berman Greater China Equity Fund,158703.21,27181064.64
Neuberger Berman High Yield Strategies Fund Inc.,132276998.69,306511159.14
Neuberger Berman International Equity Fund,50217099.09,1139772214.09
Neuberger Berman International Small Cap Fund,261390.11,3448230.82
Neuberger Berman Intrinsic Value Fund,2568006.16,1434546792.53
Neuberger Berman Long Short Fund,1098274311.39,6497344618.87
Neuberger Berman MLP and Energy Income Fund Inc.,95311996.22,590136950.29
Neuberger Berman Mid Cap Intrinsic Value Fund,172132.81,56735218.45
Neuberger Berman Municipal Fund Inc.,147499300.35,379960997.82
Neuberger Berman Municipal High Income Fund,810410.67,80328962.68
Neuberger Berman Municipal Intermediate Bond Fund,3215610.51,185385197.84
Neuberger Berman New York Municipal Fund Inc.,37371941.95,95701588.0
Neuberger Berman Next Generation Connected Consumer ETF,2581.75,5128754.83
Neuberger Berman Next Generation Connectivity Fund Inc.,9658152.18,991918780.93
Neuberger Berman Short Duration Bond Fund,1299981.14,170943849.8
Neuberger Berman Small Cap Growth Fund,6289709.81,338206368.46
Neuberger Berman Strategic Income Fund,574084515.14,3217805244.7
Neuberger Berman U.S. Equity Impact Fund,94014.84,6338438.06
Neuberger Berman U.S. Equity Index PutWrite Strategy Fund,9937884.86,939011556.02
New Alternatives Fund,1189839.79,379723956.27
New Covenant Balanced Income Fund,23119.26,82881978.49
New Covenant Growth Fund,381985.72,491979314.24
New Germany Fund Inc,1086256.14,162488358.67
New Ireland Fund Inc,1723752.96,39934457.78
New Opportunities Fund,200334.77,305768887.28
New World Fund,83271620.98,6041689323.84
New World Fund Inc,447487916.0,50006194006.12
New York Bond Fund,598722.9,158475864.7
New York Municipal Portfolio,5033796.46,1415869988.08
New York Tax Exempt Series,147582.0,100064763.45
Newday Ocean Health ETF,906.26,1492709.25
Newday Sustainable Development Equity ETF,955.1,1516242.05
NexPoint Climate Tech Fund,3190036.82,15022993.26
Nexpoint Merger Arbitrage Fund,113249875.17,1529004528.41
Next Gen Emerging Markets Portfolio,113727.55,43009863.24
Nicholas Fixed Income Alternative ETF,35281.92,27478780.7
"Nicholas Fund, Inc.",4889253.98,3021646035.94
"Nicholas II, Inc.",488286.83,918630607.2
"Nicholas Limited Edition, Inc.",355319.19,418474325.97
Nifty India Financials ETF,48326.14,7744397.47
Ninety One International Franchise Fund,9167.93,1696944.56
Noble Absolute Return ETF,50651477.71,72722258.22
Non-U.S. Intrinsic Value Fund,1574400.77,611142208.67
North Carolina Tax-Free Short-to-Medium Series,31437.85,11632930.4
North Country Large Cap Equity Fund,139904.81,131726102.77
North Square Advisory Research Small Cap Growth Fund,92387.25,11189949.74
North Square Multi Strategy Fund,220218.45,46878731.05
North Square Preferred & Income Securities Fund,290058.58,43194798.92
North Square Spectrum Alpha Fund,120946.19,87643566.93
North Square Tactical Defensive Fund,149346.291,69746632.331
North Square Tactical Growth Fund,910030.95,493607940.21
North Square Trilogy Alternative Return Fund,1963762.7,31681376.54
North Star Bond Fund,67913.28,27160794.21
North Star Dividend Fund,132453.08,87467086.8
North Star Micro Cap Fund,149447.92,93812835.94
North Star Opportunity Fund,297405.61,138141696.91
Northern Arizona Tax-Exempt Fund,138996.23,75497367.36
Northern Bond Index Fund,6497323.57,2049011268.02
Northern California Intermediate Tax-Exempt Fund,1135015.21,281844003.51
Northern California Tax-Exempt Fund,238158.4,165063536.58
Northern Core Bond Fund,668066.88,125157078.79
Northern Engage 360 Fund,90499.15,223409771.68
Northern Fixed Income Fund,6121187.53,537976563.1
Northern Global Sustainability Index Fund,439709.4,1339033949.56
Northern Global Tactical Asset Allocation Fund,538046.03,99748043.44
Northern High Yield Fixed Income Fund,9466424.25,3217958347.01
Northern High Yield Municipal Fund,946889.18,440744503.66
Northern Intermediate Tax-Exempt Fund,5716573.18,1647989442.97
Northern International Equity Fund,117255.77,113705249.84
Northern International Equity Index Fund,787838.79,4089274675.39
Northern Large Cap Core Fund,91175.48,235061899.07
Northern Limited Term Tax-Exempt Fund,604016.04,593149514.41
Northern Limited Term U.S. Government Fund,100982.37,57263608.58
Northern Mid Cap Index Fund,263633.66,1957521967.11
Northern Small Cap Core Fund,8344244.39,445581593.38
Northern Small Cap Value Fund,1000495.22,1692742365.27
Northern Stock Index Fund,1016404.96,10171296684.87
Northern Tax-Exempt Fund,4753865.95,842326108.47
Northern U.S. Government Fund,89024.99,47954781.32
Northern U.S. Quality ESG Fund,81808.21,333884009.04
Northern Ultra-Short Fixed Income Fund,3741127.83,2699577977.33
Nova Fund,12397929.74,99312330.3
Nuance Concentrated Value Fund,924788.31,297882176.64
Nuance Concentrated Value Long-Short Fund,141268810.03,298773940.27
Nuance Mid Cap Value Fund,12834002.52,3255541397.43
Nuveen AMT-Free Municipal Credit Income Fund,2024099076.0,5007141638.0
Nuveen AMT-Free Municipal Value Fund,3068964.0,277859478.0
Nuveen AMT-Free Quality Municipal Income Fund,2492013898.0,6388567924.0
Nuveen All-American Municipal Bond Fund,302343782.0,5250512454.0
Nuveen Arizona Municipal Bond Fund,3023487.0,168437108.0
Nuveen Arizona Quality Municipal Income Fund,100366747.0,244868323.0
Nuveen California AMT-Free Quality Municipal Income Fund,444463355.0,1067960423.0
Nuveen California Municipal Value Fund,1143711.0,307111423.0
Nuveen California Quality Municipal Income Fund,1237204359.0,3061157362.0
Nuveen California Select Tax-Free Income Portfolio,351980.0,87708362.0
Nuveen Colorado Municipal Bond Fund,1656478.0,448927200.0
Nuveen Core Equity Alpha Fund,1259049.0,194827316.0
Nuveen Corporate Income 2023 Target Term Fund,24629478.0,97545860.0
Nuveen Credit Income Fund,5308231.0,88694398.0
Nuveen Credit Strategies Income Fund,418638014.0,1224571971.0
Nuveen Dividend Growth ETF,4135.0,7792054.0
Nuveen Dividend Growth Fund,5313594.0,5722296388.0
Nuveen Dow 30SM Dynamic Overwrite Fund,7381692.0,596091677.0
Nuveen ESG Dividend ETF,2220.0,10031262.0
Nuveen ESG Emerging Markets Equity ETF,230581.0,226833830.0
Nuveen ESG International Developed Markets Equity ETF,84404.0,328950177.0
Nuveen ESG Large-Cap ETF,4646.0,25673410.0
Nuveen ESG Large-Cap Growth ETF,193223.0,896392894.0
Nuveen ESG Large-Cap Value ETF,3919588.0,1654956664.0
Nuveen ESG Mid-Cap Growth ETF,94848.0,368862208.0
Nuveen ESG Mid-Cap Value ETF,90628.0,355778112.0
Nuveen ESG Small-Cap ETF,15637745.0,1037229730.0
Nuveen Emerging Markets Debt Managed Accounts Portfolio,461944.0,27529419.0
Nuveen Enhanced High Yield Municipal Bond Fund,34780714.0,115596703.0
Nuveen Enhanced Yield 1-5 Year U.S. Aggregate Bond ETF,204170.0,32465711.0
Nuveen Enhanced Yield U.S. Aggregate Bond ETF,243104.0,34072756.0
Nuveen Equity Long/Short Fund,370789.0,107238331.0
Nuveen Flexible Income Fund,22326287.0,1396635610.0
Nuveen Floating Rate Income Fund,556327959.0,3253917808.0
Nuveen Floating Rate Income Opportunity Fund,272216384.0,645572772.0
Nuveen Georgia Municipal Bond Fund,612130.0,191691246.0
Nuveen Georgia Quality Municipal Income Fund,73790653.0,194848349.0
Nuveen Global Dividend Growth Fund,41105.0,18560002.0
Nuveen Global Infrastructure Fund,6855752.0,513067524.0
Nuveen Global Net Zero Transition ETF,2381.0,5451997.0
Nuveen Global Real Estate Securities Fund,379530.0,39875388.0
Nuveen Growth Opportunities ETF,14190808.0,2266134363.0
Nuveen High Yield Income Fund,18991104.0,506809050.0
Nuveen High Yield Managed Accounts Portfolio,217293.0,15775583.0
Nuveen High Yield Municipal Bond Fund,6673681018.0,23545730038.0
Nuveen Intermediate Duration Municipal Term Fund,199241162.0,824036845.0
Nuveen Intermediate Duration Quality Municipal Term Fund,1692636.0,170991294.0
Nuveen International Dividend Growth Fund,25060.0,3900886.0
Nuveen International Small Cap Fund,799766.0,59899681.0
Nuveen International Value Fund,1440507.0,82811648.0
Nuveen Kansas Municipal Bond Fund,2880102.0,238313612.0
Nuveen Kentucky Municipal Bond Fund,23710269.0,310234616.0
Nuveen Large Cap Select Fund,464193.0,35470111.0
Nuveen Large Cap Value Fund,109909.0,19808019.0
Nuveen Limited Term Municipal Bond Fund,141795735.0,6951443914.0
Nuveen Louisiana Municipal Bond Fund,2611228.0,216176146.0
Nuveen Maryland Municipal Bond Fund,812455.0,243558155.0
Nuveen Massachusetts Municipal Bond Fund,9197281.0,646250727.0
Nuveen Michigan Municipal Bond Fund,965140.0,284907390.0
Nuveen Mid Cap Growth Opportunities Fund,1917727.0,215940607.0
